,index,importance
104,"Features_bin_(202.477, 204.472]",0.074176386
224,event_type_event_type 35,0.030679742
159,"Features_bin_(312.192, 314.187]",0.028229509
234,event_type_event_type 44,0.021143474
43,"Features_bin_(80.793, 82.788]",0.020168154
151,"Features_bin_(296.233, 298.228]",0.018222144
223,event_type_event_type 34,0.017763192
87,"Features_bin_(168.565, 170.56]",0.017478
203,event_type_event_type 15,0.016833372
53,"Features_bin_(100.741, 102.736]",0.016590342
39,"Features_bin_(72.813, 74.808]",0.016293159
257,resource_type_resource_type 6,0.014518985
201,event_type_event_type 13,0.012650046
58,"Features_bin_(110.715, 112.71]",0.011649665
186,"Features_bin_(366.052, 368.047]",0.011408997
262,severity_type_severity_type 1,0.0111815315
80,"Features_bin_(154.601, 156.596]",0.010996223
114,"Features_bin_(222.425, 224.42]",0.010914823
100,"Features_bin_(194.497, 196.492]",0.01053185
15,"Features_bin_(24.938, 26.933]",0.010050399
119,"Features_bin_(232.399, 234.394]",0.009243957
29,"Features_bin_(52.865, 54.86]",0.009184586
256,resource_type_resource_type 5,0.0086973095
265,severity_type_severity_type 4,0.008661419
232,event_type_event_type 42,0.008659846
37,"Features_bin_(68.824, 70.819]",0.008302522
208,event_type_event_type 20,0.0074016936
263,severity_type_severity_type 2,0.0073547834
98,"Features_bin_(190.508, 192.503]",0.0072328905
69,"Features_bin_(132.658, 134.653]",0.007178581
190,"Features_bin_(374.031, 376.026]",0.007070322
148,"Features_bin_(290.249, 292.244]",0.006958204
96,"Features_bin_(186.518, 188.513]",0.0067875963
259,resource_type_resource_type 8,0.0067534475
101,"Features_bin_(196.492, 198.487]",0.006750801
2,volume,0.0067293085
260,resource_type_resource_type 9,0.0066009252
252,resource_type_resource_type 10,0.006509488
211,event_type_event_type 23,0.0064317286
144,"Features_bin_(282.269, 284.264]",0.006142288
258,resource_type_resource_type 7,0.006069868
140,"Features_bin_(274.29, 276.285]",0.005996917
196,sum_log,0.005990932
251,resource_type_resource_type 1,0.0058090016
44,"Features_bin_(82.788, 84.782]",0.005791696
79,"Features_bin_(152.606, 154.601]",0.005747373
245,event_type_event_type 54,0.005701568
158,"Features_bin_(310.197, 312.192]",0.005637073
111,"Features_bin_(216.44, 218.435]",0.005573468
23,"Features_bin_(40.896, 42.891]",0.005511734
72,"Features_bin_(138.642, 140.637]",0.005501283
205,event_type_event_type 18,0.005491693
88,"Features_bin_(170.56, 172.554]",0.005435689
139,"Features_bin_(272.295, 274.29]",0.005414981
1,location_count,0.0053879633
55,"Features_bin_(104.731, 106.725]",0.005378005
28,"Features_bin_(50.87, 52.865]",0.0053460784
154,"Features_bin_(302.218, 304.212]",0.005293018
107,"Features_bin_(208.461, 210.456]",0.005288491
0,location,0.0052394276
103,"Features_bin_(200.482, 202.477]",0.005229079
118,"Features_bin_(230.404, 232.399]",0.00521564
112,"Features_bin_(218.435, 220.43]",0.005202045
45,"Features_bin_(84.782, 86.777]",0.0051228465
113,"Features_bin_(220.43, 222.425]",0.0051204837
216,event_type_event_type 28,0.005116228
266,severity_type_severity_type 5,0.0050961054
116,"Features_bin_(226.415, 228.409]",0.0050552892
182,"Features_bin_(358.073, 360.067]",0.0050395885
81,"Features_bin_(156.596, 158.591]",0.0050114593
210,event_type_event_type 22,0.0049546505
255,resource_type_resource_type 4,0.0049527423
99,"Features_bin_(192.503, 194.497]",0.004920395
206,event_type_event_type 19,0.0048101926
198,event_type_event_type 10,0.0047803386
160,"Features_bin_(314.187, 316.181]",0.004770627
70,"Features_bin_(134.653, 136.648]",0.004706083
25,"Features_bin_(44.886, 46.881]",0.0046476857
250,sum_events,0.004645499
202,event_type_event_type 14,0.0045205145
30,"Features_bin_(54.86, 56.855]",0.0045166397
199,event_type_event_type 11,0.0045042383
33,"Features_bin_(60.845, 62.839]",0.0044516586
261,sum_resource,0.0043895235
93,"Features_bin_(180.534, 182.528]",0.0043458785
38,"Features_bin_(70.819, 72.813]",0.004331572
147,"Features_bin_(288.254, 290.249]",0.004090236
156,"Features_bin_(306.207, 308.202]",0.004063372
92,"Features_bin_(178.539, 180.534]",0.004060717
233,event_type_event_type 43,0.0040341327
97,"Features_bin_(188.513, 190.508]",0.004016944
153,"Features_bin_(300.223, 302.218]",0.003989218
155,"Features_bin_(304.212, 306.207]",0.003964253
175,"Features_bin_(344.109, 346.104]",0.003937491
83,"Features_bin_(160.585, 162.58]",0.0039143297
12,"Features_bin_(18.953, 20.948]",0.0037492681
36,"Features_bin_(66.829, 68.824]",0.0036984915
214,event_type_event_type 26,0.0036769912
106,"Features_bin_(206.466, 208.461]",0.0036543699
91,"Features_bin_(176.544, 178.539]",0.0036508364
253,resource_type_resource_type 2,0.003645433
209,event_type_event_type 21,0.00359929
105,"Features_bin_(204.472, 206.466]",0.0035836184
218,event_type_event_type 3,0.0035633242
40,"Features_bin_(74.808, 76.803]",0.003478427
157,"Features_bin_(308.202, 310.197]",0.0034655782
57,"Features_bin_(108.72, 110.715]",0.0034005388
117,"Features_bin_(228.409, 230.404]",0.0033865054
161,"Features_bin_(316.181, 318.176]",0.0033681034
142,"Features_bin_(278.28, 280.275]",0.003330043
42,"Features_bin_(78.798, 80.793]",0.0033137896
46,"Features_bin_(86.777, 88.772]",0.0033006114
179,"Features_bin_(352.088, 354.083]",0.0031723315
56,"Features_bin_(106.725, 108.72]",0.0031276564
230,event_type_event_type 40,0.0031020804
120,"Features_bin_(234.394, 236.389]",0.0030840614
49,"Features_bin_(92.762, 94.756]",0.0030493373
102,"Features_bin_(198.487, 200.482]",0.0030297085
241,event_type_event_type 50,0.0030295276
181,"Features_bin_(356.078, 358.073]",0.003005274
24,"Features_bin_(42.891, 44.886]",0.0029587834
7,"Features_bin_(8.979, 10.974]",0.0029176483
86,"Features_bin_(166.57, 168.565]",0.0028446012
183,"Features_bin_(360.067, 362.062]",0.0028081133
246,event_type_event_type 6,0.0027376115
31,"Features_bin_(56.855, 58.85]",0.0027095666
61,"Features_bin_(116.699, 118.694]",0.002668372
254,resource_type_resource_type 3,0.002642847
85,"Features_bin_(164.575, 166.57]",0.0026139524
108,"Features_bin_(210.456, 212.451]",0.0025682342
145,"Features_bin_(284.264, 286.259]",0.0025657439
122,"Features_bin_(238.383, 240.378]",0.0024934027
89,"Features_bin_(172.554, 174.549]",0.0024685476
26,"Features_bin_(46.881, 48.876]",0.0024002925
207,event_type_event_type 2,0.0023429554
84,"Features_bin_(162.58, 164.575]",0.002340482
141,"Features_bin_(276.285, 278.28]",0.0023120556
189,"Features_bin_(372.036, 374.031]",0.0023055915
50,"Features_bin_(94.756, 96.751]",0.0023013817
35,"Features_bin_(64.834, 66.829]",0.002297049
73,"Features_bin_(140.637, 142.632]",0.002250806
191,"Features_bin_(376.026, 378.021]",0.0022093765
236,event_type_event_type 46,0.0022085542
54,"Features_bin_(102.736, 104.731]",0.0021970186
167,"Features_bin_(328.15, 330.145]",0.0021379592
215,event_type_event_type 27,0.0020769797
59,"Features_bin_(112.71, 114.705]",0.0020564853
212,event_type_event_type 24,0.002050496
22,"Features_bin_(38.902, 40.896]",0.0019953423
6,"Features_bin_(6.984, 8.979]",0.0019595611
27,"Features_bin_(48.876, 50.87]",0.0019481501
247,event_type_event_type 7,0.0019318495
20,"Features_bin_(34.912, 36.907]",0.0019246871
16,"Features_bin_(26.933, 28.927]",0.0018078851
187,"Features_bin_(368.047, 370.041]",0.0018010581
62,"Features_bin_(118.694, 120.689]",0.0017822864
227,event_type_event_type 38,0.0017681969
219,event_type_event_type 30,0.0017651486
221,event_type_event_type 32,0.0016970305
65,"Features_bin_(124.679, 126.674]",0.0016854057
3,"Features_bin_(0.615, 2.995]",0.0016319995
82,"Features_bin_(158.591, 160.585]",0.0016268346
235,event_type_event_type 45,0.001608959
220,event_type_event_type 31,0.0015751355
17,"Features_bin_(28.927, 30.922]",0.0015642775
149,"Features_bin_(292.244, 294.238]",0.0015500605
21,"Features_bin_(36.907, 38.902]",0.0015418347
240,event_type_event_type 5,0.001423107
34,"Features_bin_(62.839, 64.834]",0.0013816672
115,"Features_bin_(224.42, 226.415]",0.0013812042
68,"Features_bin_(130.663, 132.658]",0.0013702059
94,"Features_bin_(182.528, 184.523]",0.0013311391
66,"Features_bin_(126.674, 128.668]",0.0011160823
177,"Features_bin_(348.098, 350.093]",0.0010246236
77,"Features_bin_(148.617, 150.611]",0.00094612833
135,"Features_bin_(264.316, 266.311]",0.0006443409
